Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,DATE
1/23/2017,18:50,917280,429748,75.82,149,13,0,100,3749,1/23/17 18:50
1/23/2017,18:55,917388,427779,76.29,149,13,0,100,3591,1/23/17 18:55
1/23/2017,19:00,917150,425516,76.8,149,13,0,100,3846,1/23/17 19:00
1/23/2017,19:05,917321,423489,77.29,149,13,0,100,3783,1/23/17 19:05
1/23/2017,19:10,917281,421430,77.78,148,13,0,100,3708,1/23/17 19:10
1/23/2017,19:15,917175,419231,78.29,149,13,0,100,3901,1/23/17 19:15
1/23/2017,19:20,917147,417209,78.77,149,13,0,100,3663,1/23/17 19:20
1/23/2017,19:25,917359,415250,79.26,149,13,0,100,3765,1/23/17 19:25
1/23/2017,19:30,917314,413158,79.76,149,13,0,100,3813,1/23/17 19:30
1/23/2017,19:35,917193,411034,80.26,149,13,0,100,3829,1/23/17 19:35
1/23/2017,19:40,917258,409106,80.74,148,13,0,100,3663,1/23/17 19:40
1/23/2017,19:45,917163,407184,81.2,149,13,0,100,3511,1/23/17 19:45
1/23/2017,19:50,917177,405070,81.72,148,13,0,100,4007,1/23/17 19:50
1/23/2017,19:55,917244,403171,82.2,149,13,0,100,3638,1/23/17 19:55
1/23/2017,20:00,917264,401140,82.71,149,13,0,100,3867,1/23/17 20:00
1/23/2017,20:05,917210,399168,83.2,148,13,0,100,3737,1/23/17 20:05
1/23/2017,20:10,917264,397362,83.65,149,13,0,100,3502,1/23/17 20:10
1/23/2017,20:15,917212,395625,84.09,149,13,0,100,3297,1/23/17 20:15
1/23/2017,20:20,917175,393868,84.53,149,13,0,100,3363,1/23/17 20:20
1/23/2017,20:25,917334,392179,84.98,149,13,0,100,3409,1/23/17 20:25
1/23/2017,20:30,917233,390492,85.4,149,13,0,100,3203,1/23/17 20:30
1/23/2017,20:35,917207,389018,85.77,149,13,0,100,2862,1/23/17 20:35
1/23/2017,20:40,917326,387605,86.15,149,13,0,100,2873,1/23/17 20:40
1/23/2017,20:45,917220,385988,86.55,149,13,0,100,3099,1/23/17 20:45
1/23/2017,20:50,917349,384608,86.93,149,13,0,100,2838,1/23/17 20:50
1/23/2017,20:55,917230,383051,87.32,149,13,0,100,2994,1/23/17 20:55
